usable,obj,suite,stem,task,T,disp,rise,path,z0,scene,npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE1_put_the_black_bowl_on_the_plate,put the black bowl on the plate,137,0.2614,0.1045,0.4538,0.8982,table,akita_black_bowl_1__kitchen_scene1_put_the_black_bowl_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_goal,put_the_bowl_on_the_stove,put the bowl on the stove,94,0.2582,0.1320,0.4012,0.8982,table,akita_black_bowl_1__put_the_bowl_on_the_stove_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,put the black bowl in the top drawer of the cabinet,116,0.2511,0.3194,0.6721,0.8982,table,akita_black_bowl_1__kitchen_scene10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet_flow.npz
yes,akita_black_bowl_1,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,pick up the black bowl from table center and place it on the plate,103,0.2343,0.1449,0.4329,0.8982,table,akita_black_bowl_1__pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,put the black bowl on the plate,131,0.2329,0.1527,0.4703,0.8982,table,akita_black_bowl_1__kitchen_scene5_put_the_black_bowl_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it,open the top drawer of the cabinet and put the bowl in it,189,0.2284,0.3510,0.6645,0.8982,table,akita_black_bowl_1__kitchen_scene1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it_flow.npz
yes,akita_black_bowl_1,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,open the top drawer and put the bowl inside,170,0.2106,0.2847,0.5678,0.8982,table,akita_black_bowl_1__open_the_top_drawer_and_put_the_bowl_inside_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet,put the black bowl in the bottom drawer of the cabinet,166,0.2077,0.1783,0.5049,0.8982,table,akita_black_bowl_1__kitchen_scene4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate,put the black bowl at the front on the plate,134,0.1921,0.1220,0.3452,0.8982,table,akita_black_bowl_1__kitchen_scene2_put_the_black_bowl_at_the_front_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,pick up the black bowl on the cookie box and place it on the plate,99,0.1519,0.1204,0.3367,0.9169,table,akita_black_bowl_1__pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,stack the black bowl at the front on the black bowl in the middle,119,0.1451,0.1311,0.3749,0.8982,table,akita_black_bowl_1__kitchen_scene2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle_flow.npz
yes,akita_black_bowl_1,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,pick up the black bowl next to the plate and place it on the plate,115,0.1361,0.1085,0.3753,0.8982,table,akita_black_bowl_1__pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,pick up the black bowl between the plate and the ramekin and place it on the plate,98,0.1339,0.1044,0.3412,0.8982,table,akita_black_bowl_1__pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_goal,put_the_bowl_on_the_plate,put the bowl on the plate,90,0.1285,0.1008,0.3090,0.8982,table,akita_black_bowl_1__put_the_bowl_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet,close the bottom drawer of the cabinet,137,0.1235,0.0101,0.1465,0.8987,table,akita_black_bowl_1__kitchen_scene4_close_the_bottom_drawer_of_the_cabinet_flow.npz
yes,akita_black_bowl_2,libero_90,KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet,put the middle black bowl on top of the cabinet,137,0.5153,0.2948,0.6571,0.8982,table,akita_black_bowl_2__kitchen_scene2_put_the_middle_black_bowl_on_top_of_the_cabinet_flow.npz
yes,akita_black_bowl_2,libero_90,LIVING_ROOM_SCENE4_stack_the_right_bowl_on_the_left_bowl_and_place_them_in_the_tray,stack the right bowl on the left bowl and place them in the tray,231,0.2735,0.1983,1.1653,0.4352,low_table,akita_black_bowl_2__living_room_scene4_stack_the_right_bowl_on_the_left_bowl_and_place_them_in_the_tray_flow.npz
yes,akita_black_bowl_2,libero_90,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate,put the middle black bowl on the plate,108,0.2334,0.1297,0.4290,0.8982,table,akita_black_bowl_2__kitchen_scene2_put_the_middle_black_bowl_on_the_plate_flow.npz
yes,akita_black_bowl_2,libero_90,KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl,stack the middle black bowl on the back black bowl,137,0.1978,0.1119,0.3488,0.8982,table,akita_black_bowl_2__kitchen_scene2_stack_the_middle_black_bowl_on_the_back_black_bowl_flow.npz
yes,akita_black_bowl_3,libero_90,KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate,put the black bowl at the back on the plate,108,0.1901,0.1084,0.3957,0.8982,table,akita_black_bowl_3__kitchen_scene2_put_the_black_bowl_at_the_back_on_the_plate_flow.npz
yes,alphabet_soup_1,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick up the alphabet soup and place it in the basket,148,0.4837,0.2678,0.9478,0.0384,floor,alphabet_soup_1__pick_up_the_alphabet_soup_and_place_it_in_the_basket_flow.npz
yes,alphabet_soup_1,libero_90,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,pick up the alphabet soup and put it in the basket,164,0.4284,0.1995,0.7735,0.4752,low_table,alphabet_soup_1__living_room_scene2_pick_up_the_alphabet_soup_and_put_it_in_the_basket_flow.npz
yes,alphabet_soup_1,libero_10,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,388,0.4174,0.2073,0.8722,0.4752,low_table,alphabet_soup_1__living_room_scene2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_flow.npz
yes,alphabet_soup_1,libero_90,LIVING_ROOM_SCENE3_pick_up_the_alphabet_soup_and_put_it_in_the_tray,pick up the alphabet soup and put it in the tray,111,0.4128,0.2126,0.6822,0.4752,low_table,alphabet_soup_1__living_room_scene3_pick_up_the_alphabet_soup_and_put_it_in_the_tray_flow.npz
yes,alphabet_soup_1,libero_90,LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_put_it_in_the_basket,pick up the alphabet soup and put it in the basket,154,0.3644,0.2032,0.6786,0.4752,low_table,alphabet_soup_1__living_room_scene1_pick_up_the_alphabet_soup_and_put_it_in_the_basket_flow.npz
yes,alphabet_soup_1,libero_10,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,put both the alphabet soup and the cream cheese box in the basket,242,0.3452,0.2080,0.6344,0.4752,low_table,alphabet_soup_1__living_room_scene1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_flow.npz
yes,bbq_sauce_1,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,134,0.3800,0.2453,0.7404,0.0546,floor,bbq_sauce_1__pick_up_the_bbq_sauce_and_place_it_in_the_basket_flow.npz
yes,black_book_1,libero_90,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,pick up the book and place it in the left compartment of the caddy,148,0.5201,0.2914,0.8033,0.8830,table,black_book_1__study_scene1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy_flow.npz
yes,black_book_1,libero_90,STUDY_SCENE4_pick_up_the_book_in_the_middle_and_place_it_on_the_cabinet_shelf,pick up the book in the middle and place it on the cabinet shelf,167,0.4796,0.2620,0.7893,0.8830,table,black_book_1__study_scene4_pick_up_the_book_in_the_middle_and_place_it_on_the_cabinet_shelf_flow.npz
yes,black_book_1,libero_10,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,pick up the book and place it in the back compartment of the caddy,234,0.4070,0.3376,1.0497,0.8830,table,black_book_1__study_scene1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_flow.npz
yes,black_book_1,libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,pick up the book and place it in the left compartment of the caddy,108,0.3307,0.2021,0.5271,0.8830,table,black_book_1__study_scene2_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy_flow.npz
yes,black_book_1,libero_90,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,pick up the book and place it in the front compartment of the caddy,165,0.3171,0.2908,0.7366,0.8830,table,black_book_1__study_scene1_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy_flow.npz
yes,black_book_1,libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,pick up the book and place it in the back compartment of the caddy,197,0.2800,0.2731,0.6794,0.8830,table,black_book_1__study_scene2_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_flow.npz
yes,black_book_1,libero_90,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,pick up the book and place it in the right compartment of the caddy,142,0.2645,0.2227,0.5552,0.8830,table,black_book_1__study_scene1_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy_flow.npz
yes,black_book_1,libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,pick up the book and place it in the left compartment of the caddy,159,0.2438,0.2758,0.6977,0.8830,table,black_book_1__study_scene3_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy_flow.npz
yes,black_book_1,libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,pick up the book and place it in the right compartment of the caddy,121,0.2317,0.2311,0.6216,0.8830,table,black_book_1__study_scene3_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy_flow.npz
yes,black_book_1,libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,pick up the book and place it in the right compartment of the caddy,161,0.2279,0.2613,0.6656,0.8830,table,black_book_1__study_scene2_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy_flow.npz
yes,black_book_1,libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,pick up the book and place it in the front compartment of the caddy,139,0.1919,0.2166,0.4838,0.8830,table,black_book_1__study_scene3_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy_flow.npz
yes,black_book_1,libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,pick up the book and place it in the front compartment of the caddy,133,0.1812,0.1734,0.4149,0.8830,table,black_book_1__study_scene2_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy_flow.npz
yes,butter_1,libero_90,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,put the butter at the front in the top drawer of the cabinet and close it,173,0.5261,0.2869,0.8355,0.9087,table,butter_1__kitchen_scene10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it_flow.npz
yes,butter_1,libero_object,pick_up_the_butter_and_place_it_in_the_basket,pick up the butter and place it in the basket,169,0.5052,0.2657,1.0202,0.0087,floor,butter_1__pick_up_the_butter_and_place_it_in_the_basket_flow.npz
yes,butter_1,libero_90,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray,pick up the butter and put it in the tray,103,0.2604,0.1834,0.5669,0.4455,low_table,butter_1__living_room_scene3_pick_up_the_butter_and_put_it_in_the_tray_flow.npz
yes,butter_1,libero_90,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket,pick up the butter and put it in the basket,146,0.1802,0.2374,0.6094,0.4455,low_table,butter_1__living_room_scene2_pick_up_the_butter_and_put_it_in_the_basket_flow.npz
yes,butter_2,libero_90,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,put the butter at the back in the top drawer of the cabinet and close it,183,0.5646,0.3225,0.9260,0.9087,table,butter_2__kitchen_scene10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it_flow.npz
yes,chefmate_8_frypan_1,libero_90,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove,put the frying pan on the stove,184,0.4608,0.2020,0.7113,0.8990,table,chefmate_8_frypan_1__kitchen_scene3_put_the_frying_pan_on_the_stove_flow.npz
yes,chefmate_8_frypan_1,libero_90,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it,turn on the stove and put the frying pan on it,287,0.4375,0.2352,0.7636,0.8990,table,chefmate_8_frypan_1__kitchen_scene3_turn_on_the_stove_and_put_the_frying_pan_on_it_flow.npz
yes,chefmate_8_frypan_1,libero_90,KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet,put the frying pan on top of the cabinet,227,0.4098,0.2768,0.5876,0.8990,table,chefmate_8_frypan_1__kitchen_scene9_put_the_frying_pan_on_top_of_the_cabinet_flow.npz
yes,chefmate_8_frypan_1,libero_90,KITCHEN_SCENE9_turn_on_the_stove_and_put_the_frying_pan_on_it,turn on the stove and put the frying pan on it,255,0.2803,0.1092,0.3965,0.8990,table,chefmate_8_frypan_1__kitchen_scene9_turn_on_the_stove_and_put_the_frying_pan_on_it_flow.npz
yes,chefmate_8_frypan_1,libero_90,KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf,put the frying pan on the cabinet shelf,177,0.2677,0.1707,0.3595,0.8990,table,chefmate_8_frypan_1__kitchen_scene9_put_the_frying_pan_on_the_cabinet_shelf_flow.npz
yes,chefmate_8_frypan_1,libero_90,KITCHEN_SCENE9_put_the_frying_pan_under_the_cabinet_shelf,put the frying pan under the cabinet shelf,172,0.2451,0.0124,0.2588,0.8990,table,chefmate_8_frypan_1__kitchen_scene9_put_the_frying_pan_under_the_cabinet_shelf_flow.npz
yes,chocolate_pudding_1,libero_object,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,pick up the chocolate pudding and place it in the basket,168,0.4996,0.2547,0.9497,0.0131,floor,chocolate_pudding_1__pick_up_the_chocolate_pudding_and_place_it_in_the_basket_flow.npz
yes,chocolate_pudding_1,libero_90,LIVING_ROOM_SCENE4_pick_up_the_chocolate_pudding_and_put_it_in_the_tray,pick up the chocolate pudding and put it in the tray,151,0.4438,0.2395,0.8086,0.4498,low_table,chocolate_pudding_1__living_room_scene4_pick_up_the_chocolate_pudding_and_put_it_in_the_tray_flow.npz
yes,chocolate_pudding_1,libero_90,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,put the chocolate pudding in the top drawer of the cabinet and close it,168,0.3892,0.3052,0.7084,0.9129,table,chocolate_pudding_1__kitchen_scene10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it_flow.npz
yes,chocolate_pudding_1,libero_90,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_left_of_the_plate,put the chocolate pudding to the left of the plate,110,0.2861,0.1190,0.4465,0.4498,low_table,chocolate_pudding_1__living_room_scene6_put_the_chocolate_pudding_to_the_left_of_the_plate_flow.npz
yes,chocolate_pudding_1,libero_90,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_right_of_the_plate,put the chocolate pudding to the right of the plate,77,0.1587,0.0867,0.2775,0.4498,low_table,chocolate_pudding_1__living_room_scene6_put_the_chocolate_pudding_to_the_right_of_the_plate_flow.npz
yes,cream_cheese_1,libero_10,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,put both the cream cheese box and the butter in the basket,258,0.4782,0.2845,0.9544,0.4457,low_table,cream_cheese_1__living_room_scene2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_flow.npz
yes,cream_cheese_1,libero_90,LIVING_ROOM_SCENE3_pick_up_the_cream_cheese_and_put_it_in_the_tray,pick up the cream cheese and put it in the tray,158,0.4285,0.2364,0.8256,0.4457,low_table,cream_cheese_1__living_room_scene3_pick_up_the_cream_cheese_and_put_it_in_the_tray_flow.npz
yes,cream_cheese_1,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,pick up the cream cheese and place it in the basket,139,0.3769,0.2437,0.7720,0.0089,floor,cream_cheese_1__pick_up_the_cream_cheese_and_place_it_in_the_basket_flow.npz
yes,cream_cheese_1,libero_90,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket,pick up the cream cheese box and put it in the basket,161,0.2497,0.2402,0.6443,0.4457,low_table,cream_cheese_1__living_room_scene1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket_flow.npz
yes,cream_cheese_1,libero_goal,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,92,0.1642,0.1323,0.3343,0.9089,table,cream_cheese_1__put_the_cream_cheese_in_the_bowl_flow.npz
yes,ketchup_1,libero_90,LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_in_the_tray,pick up the ketchup and put it in the tray,143,0.5471,0.0494,0.8655,0.6312,low_table,ketchup_1__living_room_scene3_pick_up_the_ketchup_and_put_it_in_the_tray_flow.npz
yes,ketchup_1,libero_object,pick_up_the_ketchup_and_place_it_in_the_basket,pick up the ketchup and place it in the basket,248,0.5014,0.2100,1.1217,0.0887,floor,ketchup_1__pick_up_the_ketchup_and_place_it_in_the_basket_flow.npz
yes,ketchup_1,libero_90,LIVING_ROOM_SCENE1_pick_up_the_ketchup_and_put_it_in_the_basket,pick up the ketchup and put it in the basket,173,0.4772,0.0705,0.8670,0.6312,low_table,ketchup_1__living_room_scene1_pick_up_the_ketchup_and_put_it_in_the_basket_flow.npz
yes,ketchup_1,libero_90,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,put the ketchup in the top drawer of the cabinet,230,0.2743,0.2600,0.6833,0.9724,table,ketchup_1__kitchen_scene5_put_the_ketchup_in_the_top_drawer_of_the_cabinet_flow.npz
yes,milk_1,libero_object,pick_up_the_milk_and_place_it_in_the_basket,pick up the milk and place it in the basket,150,0.5038,0.2116,0.8482,0.0671,floor,milk_1__pick_up_the_milk_and_place_it_in_the_basket_flow.npz
yes,milk_1,libero_90,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket,pick up the milk and put it in the basket,104,0.3556,0.0986,0.6920,0.5897,low_table,milk_1__living_room_scene2_pick_up_the_milk_and_put_it_in_the_basket_flow.npz
yes,moka_pot_1,libero_90,KITCHEN_SCENE8_put_the_right_moka_pot_on_the_stove,put the right moka pot on the stove,192,0.4896,0.1491,0.6167,0.9661,table,moka_pot_1__kitchen_scene8_put_the_right_moka_pot_on_the_stove_flow.npz
yes,moka_pot_1,libero_10,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,put both moka pots on the stove,457,0.4433,0.1536,0.6288,0.9661,table,moka_pot_1__kitchen_scene8_put_both_moka_pots_on_the_stove_flow.npz
yes,moka_pot_1,libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,turn on the stove and put the moka pot on it,272,0.2214,0.1088,0.3606,0.9661,table,moka_pot_1__kitchen_scene3_turn_on_the_stove_and_put_the_moka_pot_on_it_flow.npz
yes,moka_pot_1,libero_90,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,put the moka pot on the stove,135,0.2121,0.1288,0.3747,0.9661,table,moka_pot_1__kitchen_scene3_put_the_moka_pot_on_the_stove_flow.npz
yes,new_salad_dressing_1,libero_90,LIVING_ROOM_SCENE4_pick_up_the_salad_dressing_and_put_it_in_the_tray,pick up the salad dressing and put it in the tray,114,0.4186,0.1601,0.6240,0.4595,low_table,new_salad_dressing_1__living_room_scene4_pick_up_the_salad_dressing_and_put_it_in_the_tray_flow.npz
yes,orange_juice_1,libero_90,LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_put_it_in_the_basket,pick up the orange juice and put it in the basket,148,0.5151,0.1352,0.8688,0.5897,low_table,orange_juice_1__living_room_scene2_pick_up_the_orange_juice_and_put_it_in_the_basket_flow.npz
yes,orange_juice_1,libero_object,pick_up_the_orange_juice_and_place_it_in_the_basket,pick up the orange juice and place it in the basket,126,0.3446,0.1886,0.6758,0.0670,floor,orange_juice_1__pick_up_the_orange_juice_and_place_it_in_the_basket_flow.npz
yes,plate_1,libero_goal,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,155,0.2295,0.0065,0.3388,0.9023,table,plate_1__push_the_plate_to_the_front_of_the_stove_flow.npz
yes,porcelain_mug_1,libero_90,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate,put the white mug on the plate,147,0.3028,0.1539,0.5365,0.4344,low_table,porcelain_mug_1__living_room_scene6_put_the_white_mug_on_the_plate_flow.npz
yes,porcelain_mug_1,libero_10,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,put the white mug on the plate and put the chocolate pudding to the right of the plate,203,0.2933,0.0995,0.4439,0.4344,low_table,porcelain_mug_1__living_room_scene6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_flow.npz
yes,porcelain_mug_1,libero_90,STUDY_SCENE3_pick_up_the_white_mug_and_place_it_to_the_right_of_the_caddy,pick up the white mug and place it to the right of the caddy,112,0.2468,0.1205,0.4642,0.8827,table,porcelain_mug_1__study_scene3_pick_up_the_white_mug_and_place_it_to_the_right_of_the_caddy_flow.npz
yes,porcelain_mug_1,libero_90,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate,put the white mug on the left plate,88,0.1761,0.1107,0.3506,0.4344,low_table,porcelain_mug_1__living_room_scene5_put_the_white_mug_on_the_left_plate_flow.npz
yes,red_coffee_mug_1,libero_90,STUDY_SCENE3_pick_up_the_red_mug_and_place_it_to_the_right_of_the_caddy,pick up the red mug and place it to the right of the caddy,119,0.3912,0.1356,0.5627,0.8870,table,red_coffee_mug_1__study_scene3_pick_up_the_red_mug_and_place_it_to_the_right_of_the_caddy_flow.npz
